Name,Title,Reviews,Rating,Date of Experience
Josh Clark,They don't give a darn about you,"I accidentally booked a second ticket for myself on a flight I had booked a few days prior. I immediately went to their customer service to explain and try to get a refund. They told me they would put in the cancellation request.In the end: flight cancelled, no refund, nada. Bye bye. Now I not only do not have that flight, but I also don't have my money. F these people.",Rated 1 out of 5 stars,16 May 2023
Golam Rumi,Excellent Price from LastMinute and…,Excellent Price from LastMinute and Brilliant customer service through chat service. My request was dealt with very quickly. Highly recommend using Lastminute.com services in the future.,Rated 5 out of 5 stars,17 May 2023
Julia,I love to travel with lastminute!,Convenient filters to choose from.  It's easy to find what you need.  This is not the first time we are going on holiday with lastminute. We are satisfied!!!,Rated 5 out of 5 stars,22 April 2023
Luzadriana,I was shoking wen I doing the sheck in…,"I was shoking wen I doing the sheck in at the desk in the airport and charged a £44.99 for this, when I was trying to do online for a few times and don't let me. Very disappointed. And in my way back the check in they tells me no sate in the fly a was checked in.",Rated 3 out of 5 stars,11 May 2023
Susan Rogers,Unimpressed,"2 things.Firstly, I kept getting emails from them to confirm to the Riad I'm staying at, my arrival time and whether i needed a transfer. I responded immediately to the first one - but the emails kept coming. I decided to contact the Riad directly and told them of my arrival time. They had not received any of my responses via Lastminute.com, so just as well I had the initiative to contact the Riad direct. Why reply to Lastmiute if they are not going to forward my responses?Secondly, I organised my transfer via Lastminute (TTC Morocco) and it was a total shambles. I have left a separate review on Tripadvisor for TTC. I contacted Lastminute to cancel the return transfer and refund me as I had to wait 2 hours for the transfer from the airport (TTC are totally disorganised), and their response was to use the return transfer and complain when I get home! Hardly good advice when I was let down so badly on the airport transfer. There is no way I'm using the return transfer as I have no faith they will turn up.When I book something through a company, I expect good customer experience throughout. So far, this is missing.",Rated 1 out of 5 stars,17 May 2023
babatunde,Poor communication,"Poor communication Over 2 months waiting for a refund, numerous conversations with so called customer advisors, being told there waiting on the airline and the airline categorically saying its your responsibility - which would make sense as the payments on my bank statement state last minute not the airline.",Rated 1 out of 5 stars,22 May 2023
Sharon,Our Trip to Seville. in Seville was…,"Booking our holiday in Seville was easy, hotel was amazing , lovely room, perfect service, great food and perfect Location to explore beautiful Seville.",Rated 5 out of 5 stars,18 May 2023
Lauren,Did not pay hotel,"Made a booking with lastminute.com, and turned up at the hotel to be told the room was not paid for. Luckily the hotel manager was very understanding and booked us in for 1 night instead of the 3 nights planned. Contacted lastminute.com who were most unhelpful. They assured us the room had been made which it wasn't. Took over 12 hours for them to take action after the hotel manager and I had contacted them. They only decided to take action when I told them the hotel wasn't letting us stay any longer than 1 night. Now I am trying to complain to lastminute.com and it is near impossible to get in touch with this company.Please avoid this company at all costs.",Rated 1 out of 5 stars,26 April 2023
omar bhuyian,absolutely hopeless company,"absolutely hopeless company. Chatting with Agent Harikrishnan for the last 1 hour, trying to add a baggage. Types and goes away, types as in for 10mins continuously and goes. 1 hour still a simple baggage hasnt been done. And for this service they charge £20.Infact at the time of posting this, the agent has already taken over an hour and still nothing. last 5 mins just typing....joke of a company.",Rated 1 out of 5 stars,15 May 2023
Lu,Horrible customer service,"Horrible customer service. I booked a holiday package (flight+accomodation) and then the next day I received an email from the accommodation provider letting me know that they were double booked and couldn't accommodate us. So I contacted LastMinute.com to ask them to confirm this and to give us another accommodation for our trip but they have spent more than 2 weeks now trying to get confirmation from the accommodation provider that they were double booked when I have managed to get in contact with the accommodation provider very easily. Their support team is useless and they only repeat ""our team is working on confirming this. once we can confirm this, we will email you to update you."" I can never get a date of when this will be settled and we are getting close to our holiday dates. No one is able to help either through email, chat, or on the phone.",Rated 1 out of 5 stars,17 May 2023
